광역시도,시군구,주소,지점명,경도,위도
서울,강남구,서울 강남구 학동로 219 (논현동) ,학동역2,127.0331486,37.5149993
서울,강남구,서울 강남구 도곡로 517 (대치동) 서연빌딩 1층,대치동,127.0629430,37.4998815
서울,강남구,서울 강남구 영동대로 513 (삼성동) B1층 H102호,코엑스MALL,127.0594275,37.5116621
서울,강남구,서울 강남구 일원로 28 (일원동) ,일원동,127.0803513,37.4912002
서울,강남구,서울 강남구 논현로 509 (역삼동) 지상1층2층,역삼역,127.0361160,37.5019299
서울,강남구,서울 강남구 학동로 402 (삼성동) 천마빌딩 103호 ,강남구청역 (구: 삼성동),127.0418047,37.5170005
서울,강동구,서울 강동구 양재대로 1651 (명일동) ,명일DI점,127.1438128,37.5529751
서울,강동구,서울 강동구 천호옛길 88 (성내동) G-lite빌딩 1층,천호역,127.1258722,37.5365061
서울,강동구,서울 강동구 양재대로 1390 (둔촌동) ,둔촌동,127.1375999,37.5299436
서울,강북구,서울 강북구 도봉로10길 12 (미아동) ,미아사거리역,127.0308085,37.6131782
서울,강서구,서울 강서구 공항대로 271 (마곡동) 마곡동 723-2,발산역,126.8378241,37.5589464
서울,강서구,서울 강서구 강서로 162 (화곡동) ,화곡역,126.8410422,37.5413919
서울,강서구,서울 강서구 양천로 583 (염창동) 우림블루나인비즈니스센터1층,염창동,126.8642592,37.5570451
서울,강서구,서울 강서구 등촌로 19 (화곡동) ,목동사거리,126.8634874,37.5317356
서울,관악구,"서울 관악구 신림로 318 (신림동, 청암두산위브센티움) ",신림역,126.9302485,37.4825924
서울,관악구,서울 관악구 남부순환로 1909 (봉천동) ,낙성대,126.9615689,37.4781396
서울,관악구,서울 관악구 남부순환로 1810 (봉천동) ,서울대입구역,126.9511469,37.4810613
서울,관악구,서울 관악구 남부순환로 1735 (봉천동) ,봉천역,126.9430660,37.4825503
서울,광진구,서울 광진구 광나루로 396 (화양동) ,세종대,127.0735712,37.5472096
서울,광진구,서울 광진구 광나루로 604 (구의동) 진넥스베르디엠 101호,광장동,127.0949441,37.5415877
서울,구로구,서울 구로구 디지털로 300 (구로동) 1층,구로디지털2,126.8966116,37.4850307
서울,금천구,서울 금천구 독산로 195 (독산동) ,독산동,126.9027245,37.4643424
서울,금천구,서울 금천구 가산디지털1로 186 (가산동) 제이플라츠빌딩 지상 1층 110-1호,가산디지털,126.8815811,37.4819131
서울,노원구,서울 노원구 석계로1길 14 (월계동) ,석계역,127.0639254,37.6155462
서울,노원구,서울 노원구 동일로 1401 (상계동) ,노원역,127.0604045,37.6535824
서울,노원구,서울 노원구 한글비석로 227 (중계동) ,중계은행사거리,127.0762650,37.6479162
서울,노원구,서울 노원구 마들로3길 15 (월계동) 월계이마트2층 (월계동),월계이마트,127.0613340,37.6269007
서울,도봉구,서울 도봉구 삼양로 544 (쌍문동) ,우이동,127.0129919,37.6517839
서울,동대문구,서울 동대문구 이문로 114 (이문동) ,한국외대,127.0606824,37.5967350
서울,동작구,"서울 동작구 보라매로5가길 7 (신대방동, 캐릭터 그린빌) ",보라매,126.9249684,37.4919528
서울,동작구,서울 동작구 흑석로 94 (흑석동) ,중앙대,126.9599920,37.5072828
서울,동작구,서울 동작구 노량진로 151 (노량진동) 맞이방 광장1층,노량진역,126.9483698,37.5158028
서울,마포구,서울 마포구 월드컵북로 396 (상암동) 1층,상암DMC,126.8898190,37.5793419
서울,마포구,서울 마포구 양화로 156 (동교동) LG팰리스빌딩,홍익대,126.9234581,37.5560982
